id,name,ocrName,sizeMm,finish,pdfPage,textureUrl
"gt-floor-c108","Global Floor Tile #108","","600×600mm","Glossy","56","/assets/catalogue/clean_swatches/gt-floor-2025-p108-t2-clean.webp"
"gt-floor-c110","Global Floor Tile #110","","600×600mm","Matte","57","/assets/catalogue/clean_swatches/gt-floor-2025-p110-t2-clean.webp"
"gt-floor-c112","Global Floor Tile #112","","600×600mm","Glossy","58","/assets/catalogue/clean_swatches/gt-floor-2025-p112-t2-clean.webp"
"gt-floor-c113","Global Floor Tile #113","","800×2400mm","Glossy","59","/assets/catalogue/clean_swatches/gt-floor-2025-p113-t1-clean.webp"
"gt-floor-c114","Global Floor Tile #114","","800×2400mm","Glossy","59","/assets/catalogue/clean_swatches/gt-floor-2025-p114-t2-clean.webp"
"gt-floor-c116","Global Floor Tile #116","","800×2400mm","Glossy","60","/assets/catalogue/clean_swatches/gt-floor-2025-p116-t2-clean.webp"
"gt-floor-c117","Global Floor Tile #117","","800×2400mm","Glossy","61","/assets/catalogue/clean_swatches/gt-floor-2025-p117-t1-clean.webp"
"gt-floor-c118","Global Floor Tile #118","","800×2400mm","Glossy","61","/assets/catalogue/clean_swatches/gt-floor-2025-p118-t2-clean.webp"
"gt-floor-c119","Global Floor Tile #119","","800×2400mm","Glossy","62","/assets/catalogue/clean_swatches/gt-floor-2025-p119-t1-clean.webp"
"gt-floor-c120","Global Floor Tile #120","","800×2400mm","Glossy","62","/assets/catalogue/clean_swatches/gt-floor-2025-p120-t2-clean.webp"
"gt-floor-c121","Global Floor Tile #121","","800×2400mm","Glossy","63","/assets/catalogue/clean_swatches/gt-floor-2025-p121-t1-clean.webp"
"gt-floor-c122","Global Floor Tile #122","","800×2400mm","Glossy","63","/assets/catalogue/clean_swatches/gt-floor-2025-p122-t2-clean.webp"
"gt-floor-c123","Global Floor Tile #123","","800×2400mm","Glossy","64","/assets/catalogue/clean_swatches/gt-floor-2025-p123-t1-clean.webp"
"gt-floor-c124","Global Floor Tile #124","","800×2400mm","Glossy","64","/assets/catalogue/clean_swatches/gt-floor-2025-p124-t2-clean.webp"
"gt-floor-c125","Global Floor Tile #125","","800×2400mm","Glossy","65","/assets/catalogue/clean_swatches/gt-floor-2025-p125-t1-clean.webp"
"gt-floor-c126","Global Floor Tile #126","","800×2400mm","Glossy","65","/assets/catalogue/clean_swatches/gt-floor-2025-p126-t2-clean.webp"
