id,pdfPage,slot,layout,name,altNames,sizeMm,sizeFt,finish,thicknessMm,surface,category,subCategory,textureFile,textureUrl,nameOcrRaw,specsOcrRaw,confidence,note
sunflora-c021,21,1,A,Prestige Mint Decor,,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p21-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p21-t1-clean.webp,en _—— --: _ _ — — - ; -_- . . - - ~ Ja an ~ -_ oe. fe -_— - wee eee Cee ee orn 4 - - an sH-+- 5 ITS oan le say,.) 5,high,
sunflora-c022,22,2,B,Prestige Crackle Decor / Prestige Crackle,Prestige Crackle Decor - A Ooo | Prestige Crackle,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p22-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p22-t1-clean.webp,Prestige Crackle Decor - A Ooo | Prestige Crackle,"PRESTIGE CRACKLE DECOR — _, = - - * ol iz y —_ \ l. f l ar = er ' a = —— = Yuen a i il Be : OE oe oe a | hea oe init § *y I q ' i ; f 1 r a 4 oie vo ee a, “Tier: | « “Yel hRerwnecc | Sleslasn sLtT.7. ",high,
sunflora-c023,23,2,B,Mozo Midas Decor,Mozo Midas Decor A | Po Ct V Ay Val,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p23-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p23-t1-clean.webp,Mozo Midas Decor A | Po Ct V Ay Val,"MOZO MIDAS DECOR | ; ey oe WG ; : e- by a 0 . . - - “Fee e - : 4 “hav > “ » i ~ t Le ; 3 i * ‘ . > ny e : . ra a ° an* Pe | LJ . bed a ""4a\>\« rem ry we Pat oe tl",high,
sunflora-c024,24,2,B,Monostone Crema Decor,Monostone Crema Decor Monostone Crema Decor | See St Tl A,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p24-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p24-t1-clean.webp,Monostone Crema Decor Monostone Crema Decor | See St Tl A,MONOS TONE CREMA DECOR,high,
sunflora-c025,25,2,B,Monostone Brown Decor,Brown Decor Monostone Brown Decor | Enone,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p25-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p25-t1-clean.webp,Brown Decor Monostone Brown Decor | Enone,> fT) VVAN 7 e)° VION © ON 21°20 7 | bal / wa hy E | Het | | ! fal Gl = E ai ij | | at,high,
sunflora-c026,26,2,B,Fort Crema Decor / Fort Crema,Ge I Hen Il Ane Ear | Ie A,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p26-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p26-t1-clean.webp,Ge I Hen Il Ane Ear | Ie A,"@}* REMA LD Ok ; fa oe te d ; SS | Sia oy ; { : ; : ie oe ‘ , 4 } : ; - - ; f 4 . it 7 ‘ 7 F i} t f ; i : | ; ‘ t ' ; ' 8 ‘ ta - 7 7 7 4 ¥ \ ; f 24 SS - ob dpe 9-4 : } = ‘ i 7 i ; e t ; ‘ : Y } F 7 } ",high,
sunflora-c027,27,2,B,Fort Brown Decor / Fort Brown,Fort Brown Decor Fort Brown Decor | Eosin,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p27-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p27-t1-clean.webp,Fort Brown Decor Fort Brown Decor | Eosin,e)° > i y > OWN DO @)°,high,
sunflora-c028,28,2,B,Endless Collection,Endless Collection Parvials | La La,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p28-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p28-t1-clean.webp,Endless Collection Parvials | La La,CARVING ENDLESS =,medium,
sunflora-c029,29,1,A,End Strom Grey,,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p29-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p29-t1-clean.webp,END STROM GREY _ PToorms END STROM GREY,Size 600x1200mm Finish *. CARVING ENDLESS Random 3) «OL Thickness,high,
sunflora-c030,30,2,B,End Flora Aqua,Uf Bed | Say Ae Th Ey Ps Ee,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p30-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p30-t1-clean.webp,Uf Bed | Say Ae Th Ey Ps Ee,"“— 7 —_ ‘ F i ‘ a inal o* ' om . -. < : ~ , ( - :. ; } 7 ‘ ; a 4 on ~~ “a we ae _ * ys. - - F is re 4 . fi eee iy, ya _ 6 “ ; a Ja < / * e Ys —_ ; _. f . “_ P 2 co. 60 Pe a all - » “ f al ~- bd y i u ",high,
sunflora-c031,31,2,B,End Spark Statuario,A Eo | Aie A Nt,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p31-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p31-t1-clean.webp,A Eo | Aie A Nt,"— — ""ae al a i -* - — w Pos - a —a—< = a a er - EN a 4 a et el Pod = - a ae ot — - e : ze “a Siz om - - . — — 60) ” aa 4 _ae",high,
sunflora-c032,32,1,A,End Flora Gold,,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p32-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p32-t1-clean.webp,", END FLORA GOLD = aenane’ a ee END FLORA GOLD A",= Size 600x1200mm ~ Finish + 4 CARVING ENDLESS “ Random 1 Ill - Thickness,high,
sunflora-c033,33,2,B,End Antheni Mint / End Antheni Pink,An Par Os Pe 5 En | Prandom 3,600×1200mm,2×4 Ft,Carving,9.0,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p33-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p33-t1-clean.webp,An Par Os Pe 5 En | Prandom 3,"a = ae “ts We es th, aid —— | ee %. af ra 7 5 1 - ao, a nts ne Fal _ . a | i ‘5 4 "" ” a lee ae ae , or A = | fs A 4 ’ me = it ¢eal ae r 4 7 - ¥ 3 vil gi ' as . . "" | 7 awe ‘ 1 - ‘ = ie oo a J > ge! er",high,
sunflora-c034,34,2,B,End Antheni Grey / End Antheni Nero,END Antheni Grey A . END Antheni Grey | So Eo,600×1200mm,2×4 Ft,Carving,9.0,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p34-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p34-t1-clean.webp,END Antheni Grey A . END Antheni Grey | So Eo,"“ip Py 4 —— | = —e ; - yp Z ot a - , : ai’ — Pe ro. 2 hus * a % ” hy wee fat 5 o ¢ i F ’ . : * me a # ial : 4 i, ws “ - Fs , "" : er . . i , A ' ee a . i L-< _ 3 : ‘ % - &§ er 1h ; be a > 4.4 “ . fr gs",high,
sunflora-c035,35,2,B,Diamond Onyx Decor,Sumone Onyx Decor Diamond Onyx Decor | Ee S,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p35-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p35-t1-clean.webp,Sumone Onyx Decor Diamond Onyx Decor | Ee S,VIAMOND ONTA DECOK Giirfarce ‘CHR Thicknecc '9 fmm DanAara: 2,high,
sunflora-c036,36,2,B,3D-1001,Wo Pw | Gi 7,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p36-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p36-t1-clean.webp,Wo Pw | Gi 7,"A dn ioe n “ aa \ . yA ; , ¢ a "" % : # he r P ? A, Me NAT : * ~ | p = |",medium,
